Binomial	ID	year	popvalue
Plethodon_cinereus	64	1970	34
Plethodon_cinereus	64	1971	33.5
Plethodon_cinereus	64	1972	34.5
Plethodon_cinereus	64	1973	34.5
Plethodon_cinereus	64	1974	34
Desmognathus_ochrophaeus	22	1975	14
Lithobates_sylvaticus	30	1975	112
Lithobates_sylvaticus	31	1975	491
Lithobates_sylvaticus	32	1975	342
Lithobates_sylvaticus	33	1975	266
Plethodon_cinereus	64	1975	34.5
Desmognathus_ochrophaeus	22	1976	15
Lithobates_sylvaticus	29	1976	380
Lithobates_sylvaticus	31	1976	453
Lithobates_sylvaticus	32	1976	287
Lithobates_sylvaticus	33	1976	246
Plethodon_cinereus	64	1976	24.5
Desmognathus_ochrophaeus	22	1977	18
Lithobates_sylvaticus	27	1977	1400
Lithobates_sylvaticus	28	1977	4000
Lithobates_sylvaticus	29	1977	362
Lithobates_sylvaticus	31	1977	439
Lithobates_sylvaticus	32	1977	173
Lithobates_sylvaticus	33	1977	209
Plethodon_cinereus	64	1977	32.5
Desmognathus_ochrophaeus	22	1978	17
Lithobates_sylvaticus	27	1978	250
Lithobates_sylvaticus	28	1978	500
Lithobates_sylvaticus	29	1978	85
Lithobates_sylvaticus	30	1978	39
Lithobates_sylvaticus	31	1978	61
Lithobates_sylvaticus	32	1978	52
Lithobates_sylvaticus	33	1978	121
Plethodon_cinereus	64	1978	33
Desmognathus_ochrophaeus	22	1979	12
Lithobates_sylvaticus	27	1979	500
Lithobates_sylvaticus	28	1979	750
Lithobates_sylvaticus	29	1979	381
Lithobates_sylvaticus	30	1979	583
Lithobates_sylvaticus	31	1979	374
Lithobates_sylvaticus	32	1979	162
Lithobates_sylvaticus	33	1979	123
Plethodon_cinereus	64	1979	33
Desmognathus_ochrophaeus	22	1980	18
Lithobates_sylvaticus	27	1980	800
Lithobates_sylvaticus	28	1980	500
Lithobates_sylvaticus	29	1980	350
Lithobates_sylvaticus	30	1980	186
Lithobates_sylvaticus	31	1980	300
Lithobates_sylvaticus	32	1980	68
Lithobates_sylvaticus	33	1980	167
Plethodon_cinereus	64	1980	32.5
