Binomial	ID	year	popvalue
Myodes_gapperi	40	1952	17
Sorex_cinereus	44	1952	3
Napaeozapus_insignis	45	1952	18
Tamias_striatus	46	1952	1
Blarina_brevicauda	47	1952	1
Myodes_gapperi	40	1953	11
Sorex_cinereus	44	1953	5
Napaeozapus_insignis	45	1953	3
Tamias_striatus	46	1953	8
Blarina_brevicauda	47	1953	1
Myodes_gapperi	40	1954	29
Sorex_cinereus	44	1954	1
Napaeozapus_insignis	45	1954	7
Tamias_striatus	46	1954	25
Blarina_brevicauda	47	1954	3
Myodes_gapperi	40	1955	47
Sorex_cinereus	44	1955	15
Napaeozapus_insignis	45	1955	1
Tamias_striatus	46	1955	4
Blarina_brevicauda	47	1955	0
Myodes_gapperi	40	1956	31
Sorex_cinereus	44	1956	1
Napaeozapus_insignis	45	1956	6
Tamias_striatus	46	1956	12
Blarina_brevicauda	47	1956	0
Myodes_gapperi	40	1957	22
Sorex_cinereus	44	1957	8
Napaeozapus_insignis	45	1957	2
Tamias_striatus	46	1957	21
Blarina_brevicauda	47	1957	1
Myodes_gapperi	40	1958	14
Sorex_cinereus	44	1958	5
Napaeozapus_insignis	45	1958	2
Tamias_striatus	46	1958	22
Blarina_brevicauda	47	1958	0
Myodes_gapperi	40	1959	52
Sorex_cinereus	44	1959	2
Napaeozapus_insignis	45	1959	4
Tamias_striatus	46	1959	30
Blarina_brevicauda	47	1959	0
Myodes_gapperi	40	1960	19
Sorex_cinereus	44	1960	1
Napaeozapus_insignis	45	1960	0
Tamias_striatus	46	1960	29
Blarina_brevicauda	47	1960	2
Rangifer_tarandus	180	1960	5021
Myodes_gapperi	40	1961	20
Sorex_cinereus	44	1961	2
Napaeozapus_insignis	45	1961	0
Tamias_striatus	46	1961	48
Blarina_brevicauda	47	1961	2
Halichoerus_grypus	97	1961	1434
Rangifer_tarandus	180	1961	6059
Myodes_gapperi	40	1962	9
Sorex_cinereus	44	1962	5
Napaeozapus_insignis	45	1962	11
Tamias_striatus	46	1962	21
Blarina_brevicauda	47	1962	2
Halichoerus_grypus	97	1962	1424
Rangifer_tarandus	180	1962	6888
Myodes_gapperi	40	1963	1
Sorex_cinereus	44	1963	3
Napaeozapus_insignis	45	1963	6
Tamias_striatus	46	1963	23
Blarina_brevicauda	47	1963	2
Halichoerus_grypus	97	1963	1896
Rangifer_tarandus	180	1963	6462
Myodes_gapperi	40	1964	8
Sorex_cinereus	44	1964	0
Napaeozapus_insignis	45	1964	0
Tamias_striatus	46	1964	3
Blarina_brevicauda	47	1964	1
Halichoerus_grypus	97	1964	2368
Rangifer_tarandus	180	1964	7709
Myodes_gapperi	40	1965	24
Sorex_cinereus	44	1965	1
Napaeozapus_insignis	45	1965	1
Tamias_striatus	46	1965	6
Blarina_brevicauda	47	1965	2
Halichoerus_grypus	97	1965	2358
Rangifer_tarandus	180	1965	8956
Myodes_gapperi	40	1966	7
Sorex_cinereus	44	1966	1
Napaeozapus_insignis	45	1966	0
Tamias_striatus	46	1966	16
Blarina_brevicauda	47	1966	9
Halichoerus_grypus	97	1966	2830
Rangifer_tarandus	180	1966	10413
Myodes_gapperi	40	1967	6
Sorex_cinereus	44	1967	0
Napaeozapus_insignis	45	1967	4
Tamias_striatus	46	1967	8
Blarina_brevicauda	47	1967	1
Halichoerus_grypus	97	1967	3302
Rangifer_tarandus	180	1967	12288
Myodes_gapperi	40	1968	21
Sorex_cinereus	44	1968	2
Napaeozapus_insignis	45	1968	0
Tamias_striatus	46	1968	11
Blarina_brevicauda	47	1968	2
Halichoerus_grypus	97	1968	3773
Rangifer_tarandus	180	1968	13953
Myodes_gapperi	40	1969	10
Sorex_cinereus	44	1969	3
Napaeozapus_insignis	45	1969	0
Tamias_striatus	46	1969	30
Blarina_brevicauda	47	1969	4
Halichoerus_grypus	97	1969	4244
Rangifer_tarandus	180	1969	15620
Myodes_gapperi	40	1970	11
Sorex_cinereus	44	1970	4
Napaeozapus_insignis	45	1970	3
Tamias_striatus	46	1970	27
Blarina_brevicauda	47	1970	7
Halichoerus_grypus	97	1970	4235
Phocoena_phocoena	145	1970	4
Phocoena_phocoena	146	1970	4.42
Rangifer_tarandus	180	1970	17494
Myodes_gapperi	40	1971	38
Sorex_cinereus	44	1971	2
Napaeozapus_insignis	45	1971	3
Tamias_striatus	46	1971	19
Blarina_brevicauda	47	1971	4
Halichoerus_grypus	97	1971	4707
Phocoena_phocoena	145	1971	1.04
Phocoena_phocoena	146	1971	3.34
Alces_americanus	173	1971	35
Rangifer_tarandus	180	1971	19160
Peromyscus_maniculatus	35	1972	320
Tamiasciurus_hudsonicus	36	1972	6.67
Myodes_gapperi	40	1972	10
Sorex_cinereus	44	1972	0
Napaeozapus_insignis	45	1972	6
Tamias_striatus	46	1972	38
Blarina_brevicauda	47	1972	3
Halichoerus_grypus	97	1972	5659
Rangifer_tarandus	131	1972	15
Phocoena_phocoena	145	1972	6.45
Phocoena_phocoena	146	1972	6.44
Alces_americanus	173	1972	52
Rangifer_tarandus	180	1972	19989
Peromyscus_maniculatus	35	1973	161.67
Tamiasciurus_hudsonicus	36	1973	3
Myodes_gapperi	40	1973	5
Sorex_cinereus	44	1973	8
Napaeozapus_insignis	45	1973	4
Tamias_striatus	46	1973	6
Blarina_brevicauda	47	1973	8
Halichoerus_grypus	97	1973	6611
Rangifer_tarandus	131	1973	14
Phocoena_phocoena	145	1973	4.48
Phocoena_phocoena	146	1973	4.5
Rangifer_tarandus	180	1973	20609
Peromyscus_maniculatus	35	1974	115.67
Tamiasciurus_hudsonicus	36	1974	1.67
Myodes_gapperi	40	1974	2
Sorex_cinereus	44	1974	3
Napaeozapus_insignis	45	1974	6
Tamias_striatus	46	1974	12
Blarina_brevicauda	47	1974	5
Halichoerus_grypus	97	1974	7082
Rangifer_tarandus	131	1974	15
Phocoena_phocoena	145	1974	2.08
Phocoena_phocoena	146	1974	7.72
Alces_americanus	173	1974	95
Rangifer_tarandus	180	1974	20601
Peromyscus_maniculatus	35	1975	143.33
Tamiasciurus_hudsonicus	36	1975	3.67
Myodes_gapperi	40	1975	6
Sorex_cinereus	44	1975	0
Napaeozapus_insignis	45	1975	1
Tamias_striatus	46	1975	20
Blarina_brevicauda	47	1975	9
Halichoerus_grypus	97	1975	8518
Rangifer_tarandus	131	1975	19
