ID,min_year,max_year
35,1972,1991
36,1972,1991
40,1952,1995
44,1952,1995
45,1952,1995
46,1952,1995
47,1952,1995
49,1979,1999
67,1991,1998
87,1988,2011
88,1987,2008
89,1987,2008
90,1988,2011
97,1961,2010
99,1988,2011
102,1988,2011
103,1988,2011
104,1988,2011
105,1983,1997
106,1983,1997
107,1989,1997
108,1985,1997
109,1983,1997
110,1983,1997
111,1985,1997
112,1990,1997
113,1983,1993
131,1972,1997
145,1970,1978
146,1970,1978
151,1983,2005
173,1971,2000
178,2001,2009
179,2001,2009
180,1960,2013
182,1980,2016
580,2001,2013
788,1983,2008
789,1980,2016
