Binomial	ID	year	popvalue
Sterna_dougallii	34	1968	5
Sterna_paradisaea	56	1968	1300
Sterna_dougallii	34	1970	5
Sterna_paradisaea	56	1970	1300
Sterna_dougallii	34	1971	2
Sterna_paradisaea	56	1971	1200
Sterna_dougallii	34	1973	0
Sterna_paradisaea	56	1973	700
Sterna_dougallii	34	1976	0
Sterna_paradisaea	56	1976	800
Sterna_dougallii	34	1977	23
Sterna_paradisaea	56	1977	770
Sterna_dougallii	34	1979	0
Sterna_paradisaea	56	1979	50
Sterna_dougallii	34	1980	0
Sterna_paradisaea	56	1980	0
Sterna_dougallii	34	1981	0
Sterna_paradisaea	56	1981	0
Sterna_dougallii	34	1982	0
Sterna_paradisaea	56	1982	0
Sterna_dougallii	34	1983	0
Sterna_paradisaea	56	1983	0
Sterna_dougallii	34	1984	0
Sterna_paradisaea	56	1984	470
Sterna_dougallii	34	1985	23
Sterna_paradisaea	56	1985	760
Sterna_dougallii	34	1986	23
Sterna_paradisaea	56	1986	730
Sterna_dougallii	34	1987	32
Sterna_paradisaea	56	1987	720
Sterna_dougallii	34	1988	39
Sterna_paradisaea	56	1988	650
Sterna_dougallii	34	1989	43
Sterna_paradisaea	56	1989	550
Sterna_dougallii	34	1990	47
Sterna_paradisaea	56	1990	720
Sterna_dougallii	34	1991	52
Sterna_paradisaea	56	1991	600
Sterna_dougallii	34	1992	61
Sterna_paradisaea	56	1992	650
Sterna_dougallii	34	1993	65
Sterna_paradisaea	56	1993	580
Sterna_dougallii	34	1994	60
Sterna_paradisaea	56	1994	640
Sterna_dougallii	34	1995	61
Sterna_paradisaea	56	1995	800
Sterna_dougallii	34	1996	24
Sterna_paradisaea	56	1996	710
Sterna_dougallii	34	1997	28
Sterna_paradisaea	56	1997	400
Sterna_dougallii	34	1998	26
Sterna_paradisaea	56	1998	300
