Binomial	ID	year	popvalue
Alosa_pseudoharengus	2	1950	401
Coregonus_clupeaformis	6	1950	58801
Perca_flavescens	9	1950	0.6
Alosa_pseudoharengus	2	1951	428.3
Coregonus_clupeaformis	6	1951	59023
Perca_flavescens	9	1951	15.228
Alosa_pseudoharengus	2	1952	442.2
Coregonus_clupeaformis	6	1952	22447
Perca_flavescens	9	1952	18.252
Alosa_pseudoharengus	2	1953	321.9
Coregonus_clupeaformis	6	1953	9072
Perca_flavescens	9	1953	11.196
Alosa_pseudoharengus	2	1954	283.1
Coregonus_clupeaformis	6	1954	2039
Perca_flavescens	9	1954	13.652
Alosa_pseudoharengus	43	1954	24.5
Alosa_pseudoharengus	2	1955	94
Coregonus_clupeaformis	6	1955	764
Perca_flavescens	9	1955	21.942
Alosa_pseudoharengus	43	1955	191.7
Alosa_pseudoharengus	2	1956	322.6
Coregonus_clupeaformis	6	1956	1276
Perca_flavescens	9	1956	27.212
Alosa_pseudoharengus	43	1956	655.5
Alosa_pseudoharengus	2	1957	343.6
Coregonus_clupeaformis	6	1957	2671
Perca_flavescens	9	1957	26.414
Alosa_pseudoharengus	43	1957	41
Alosa_pseudoharengus	2	1958	228.3
Coregonus_clupeaformis	6	1958	2314
Perca_flavescens	9	1958	55.984
Alosa_pseudoharengus	43	1958	91
Alosa_pseudoharengus	2	1959	147.8
Coregonus_clupeaformis	6	1959	2122
Perca_flavescens	9	1959	45.128
Alosa_pseudoharengus	43	1959	867
Alosa_pseudoharengus	2	1960	151.4
Coregonus_clupeaformis	6	1960	4147
Perca_flavescens	9	1960	50.85
Alosa_pseudoharengus	43	1960	444
Alosa_pseudoharengus	2	1961	189.8
Coregonus_clupeaformis	6	1961	3409
Perca_flavescens	9	1961	97.349
Alosa_pseudoharengus	43	1961	3086
Alosa_pseudoharengus	2	1962	118.7
Coregonus_clupeaformis	6	1962	2205
Perca_flavescens	9	1962	63.148
Alosa_pseudoharengus	43	1962	1119
Alosa_pseudoharengus	2	1963	65
Coregonus_clupeaformis	6	1963	5085
Perca_flavescens	9	1963	41.562
Alosa_pseudoharengus	43	1963	1801
Alosa_pseudoharengus	2	1964	78.6
Coregonus_clupeaformis	6	1964	4880
Perca_flavescens	9	1964	24.234
Alosa_pseudoharengus	43	1964	5824
Alosa_pseudoharengus	2	1965	128.3
Coregonus_clupeaformis	6	1965	4591
Perca_flavescens	9	1965	15.503
Alosa_pseudoharengus	43	1965	2021
Alosa_pseudoharengus	2	1966	67.3
Coregonus_clupeaformis	6	1966	2001
Perca_flavescens	9	1966	7.779
Alosa_pseudoharengus	43	1966	1495
Alosa_pseudoharengus	2	1967	68.9
Alosa_sapidissima	4	1967	167
Coregonus_clupeaformis	6	1967	2616
Perca_flavescens	9	1967	4.294
Alosa_pseudoharengus	43	1967	1105
Alosa_pseudoharengus	2	1968	92.5
Alosa_pseudoharengus	3	1968	21
Alosa_sapidissima	4	1968	202
Coregonus_clupeaformis	6	1968	3342
Perca_flavescens	9	1968	4.669
Salmo_salar	12	1968	42.7
Alosa_pseudoharengus	43	1968	1153
Alosa_pseudoharengus	2	1969	76.1
Alosa_pseudoharengus	3	1969	89
Alosa_sapidissima	4	1969	384
Coregonus_clupeaformis	6	1969	5079
Perca_flavescens	9	1969	0.686
Salmo_salar	12	1969	32.06
Alosa_pseudoharengus	43	1969	1874
Alosa_pseudoharengus	2	1970	63
Alosa_pseudoharengus	3	1970	68
Alosa_sapidissima	4	1970	413
Coregonus_clupeaformis	6	1970	8500
Perca_flavescens	9	1970	0.784
Salmo_salar	12	1970	66.26
Alosa_pseudoharengus	43	1970	26.5
Alosa_pseudoharengus	2	1971	50.6
Alosa_pseudoharengus	3	1971	326
Alosa_sapidissima	4	1971	424
Coregonus_clupeaformis	6	1971	5461
Perca_flavescens	9	1971	0.167
Perca_flavescens	10	1971	2.16
Salmo_salar	12	1971	122.05
Sander_vitreus	17	1971	0.4418
Alosa_pseudoharengus	43	1971	6.7
Alosa_pseudoharengus	2	1972	72.5
Alosa_pseudoharengus	3	1972	987
Alosa_sapidissima	4	1972	167
Coregonus_clupeaformis	6	1972	8473
Perca_flavescens	9	1972	3.896
Perca_flavescens	10	1972	2.63
Salmo_salar	12	1972	82.47
Sander_vitreus	17	1972	0.4496
Alosa_pseudoharengus	43	1972	15.9
Pollachius_virens	669	1972	0.08
Alosa_pseudoharengus	2	1973	78.2
Alosa_pseudoharengus	3	1973	1150
Alosa_sapidissima	4	1973	111
Coregonus_clupeaformis	6	1973	7015
Perca_flavescens	9	1973	7
Perca_flavescens	10	1973	3.26
Salmo_salar	12	1973	80.22
Sander_vitreus	17	1973	0.4538
Alosa_pseudoharengus	43	1973	0
Perca_flavescens	63	1973	4.25
Pollachius_virens	669	1973	0.11
Alosa_pseudoharengus	2	1974	66.4
Alosa_pseudoharengus	3	1974	596
Alosa_sapidissima	4	1974	306
Coregonus_clupeaformis	6	1974	1251
Perca_flavescens	9	1974	0.833
Perca_flavescens	10	1974	3.28
Salmo_salar	12	1974	391.21
Sander_vitreus	13	1974	0.0111
Sander_vitreus	14	1974	0.45
Sander_vitreus	17	1974	0.4641
Alosa_pseudoharengus	43	1974	13
Perca_flavescens	63	1974	4.65
Pollachius_virens	669	1974	0.28
Alosa_pseudoharengus	2	1975	19.7
Alosa_pseudoharengus	3	1975	779
Alosa_sapidissima	4	1975	247
Coregonus_clupeaformis	6	1975	6789
Coregonus_clupeaformis	7	1975	33.9
Perca_flavescens	9	1975	0.33
Perca_flavescens	10	1975	2.46
Salmo_salar	12	1975	348.93
Sander_vitreus	13	1975	0.0107
Sander_vitreus	14	1975	0.44
Sander_vitreus	17	1975	0.4995
Alosa_pseudoharengus	43	1975	2.5
Perca_flavescens	63	1975	17.7
Pollachius_virens	669	1975	0.09
Alosa_pseudoharengus	2	1976	41
Alosa_pseudoharengus	3	1976	643
Alosa_sapidissima	4	1976	435
Coregonus_clupeaformis	6	1976	7534
Coregonus_clupeaformis	7	1976	33.2
Perca_flavescens	9	1976	1.547
Perca_flavescens	10	1976	2.33
Salmo_salar	12	1976	267.2
Sander_vitreus	13	1976	0.0123
Sander_vitreus	14	1976	0.42
Sander_vitreus	17	1976	0.569
Alosa_pseudoharengus	43	1976	7.8
Perca_flavescens	63	1976	4.65
Ambloplites_rupestris	183	1976	7.1
Ameiurus_nebulosus	184	1976	1.12
Aplodinotus_grunniens	233	1976	0.19
Catostomus_commersonii	235	1976	4.04
Cyprinus_carpio	237	1976	0.25
Dorosoma_cepedianum	239	1976	17.82
Esox_lucius	240	1976	0.83
Ictalurus_punctatus	433	1976	0.41
Micropterus_dolomieu	535	1976	24.51
Morone_americana	541	1976	63
Moxostoma_anisurum	569	1976	0.06
Perca_flavescens	595	1976	69.09
Pollachius_virens	669	1976	0.02
Sander_vitreus	810	1976	0.05
Alosa_pseudoharengus	2	1977	15.3
Alosa_pseudoharengus	3	1977	299
Alosa_sapidissima	4	1977	207
Coregonus_clupeaformis	6	1977	8189
