population_id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,1,-0.0807894379930485,-0.114004529160588,-0.114004529160587,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
595,1,-0.037135954339694,-0.0360260195936893,-0.0276226755601567,-0.0127485621503177,0.00121453641593317,0.00980061103962748,0.0149771499221759,0.0206340439169792,0.0277754266117084,0.0344981909737371,0.0385147979826512,0.0390477386829768,0.0377123308326873,0.0376959255030841,0.0402272485461108,0.041549375595167,0.0355955895958193,0.0202974817329407,-0.00151712266438109,-0.0286546992949934,-0.064629739956805,-0.109580839060251,-0.151798890829598,-0.174882559815426,-0.175562388424647,-0.168340419465949
84,1,-1,0.00522653737865952,0.00522653737865042,0.00522653737853673,0.00522653737825629,0.00522653737786172,0.0052265373774556,0.00522653737708745,0.00522653737675349,0.00522653737646639,0.00522653737625345,0.00522653737609424,0.00522653737591861,0.00522653737571499,0.0052265373755731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,1,-0.0459669296837546,-0.0459669296838678,-0.045966929683969,-0.0459669296840608,-0.045966929684137,-0.0459669296841895,-0.0459669296842194,-0.0459669296842356,-0.0459669296842457,-0.0459669296842514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
