"","SpeciesSSet","Freq","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Acipenser_fulvescens","Acipenser_fulvescens",16,1,0,0,0,0,0,0,0,0.477121254719662,-0.176091259055681,NA,NA,0.150514997831991,0.150514997831991,-0.301029995663981,0,0.653212513775344,NA,NA,-0.032303337669352,-0.0323033376693522,-0.602059991327962,0,0,0.2491552768948,0.2491552768948,NA
"Alosa_aestivalis","Alosa_aestivalis",21,1,-0.025246219288667,-0.0400957025226358,-0.0544782521384235,-0.0683065786666021,-0.080430485618709,-0.0902736071323967,-0.0989165453530539,-0.107683807869294,-0.115808618722855,-0.120670872825809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alosa_pseudoharengus","Alosa_pseudoharengus",92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alosa_sapidissima","Alosa_sapidissima",66,1,0.0757835069312816,-0.0192513953462475,-0.116232626412105,-0.0875306486081884,0.0181128773730442,0.0789665984054489,0.0742330994769684,0.067825169169663,0.0750222258906442,0.0497886597914938,0.0247825649887545,-0.0581081209452954,-0.0995229499596881,-0.253405544554813,-0.567434588716039,-0.832311730639775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambloplites_rupestris","Ambloplites_rupestris",40,1,-0.0293012557872538,-0.0526526629485087,-0.068325242859003,-0.0737084433048817,-0.0697531297764066,-0.059821189729541,-0.0497288988763264,-0.0456987356929494,-0.0480696269972493,-0.0473832810858961,-0.0318874014026934,-0.0021866382956629,0.0248792735352951,0.0319215261749071,0.0195515997084513,0.00405062121273009,-0.00372497147422401,-0.0103681917349319,-0.0269131769149495,-0.0496922420087648,-0.0624029052108712,-0.0562825306262812,-0.0401618475585679,-0.028147618774048,-0.0242456115077575,NA
"Amblyraja_radiata","Amblyraja_radiata",23,1,NA,NA,NA,NA,NA,NA,NA,0.167934217678805,0.15431384995576,0.04617748147271,-0.0204222869512304,-0.0432333956099095,0.00820318249782293,0.0650534872332142,0.0433098766029148,-0.0366481102009181,-0.178778442597186,-0.116274026153388,-0.0574523159440012,-0.127293168218317,-0.238239763783803,NA,NA,NA,NA,NA
"Ameiurus_nebulosus","Ameiurus_nebulosus",39,1,-0.07173062794393,-0.0772635095527877,-0.078996991720109,-0.0745540694924748,-0.0636180301313143,-0.0488167780041823,-0.0331837459952334,-0.0172090183704345,-0.000432582316440611,0.0165141155481181,0.0316843222150324,0.043787780556075,0.0530785408152049,0.0600828707039091,0.0646433082594124,0.0663854658657346,0.0650070620270113,0.0600341370550895,0.0516330092072818,0.0418983028176963,0.0337656390149308,0.0279913667415426,0.0227458408543714,0.0171201387773257,0.0131972954788132,NA
"Amia_calva","Amia_calva",20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0436401067685097,0.0433676011822441,0.0427944163312877,0.0418425916972305,0.04033932114127,0.095262185191862,0.0938512199143032,0.0950708280790755,0.0937488063989492,-0.0650816884320285,-0.0658336889194177,0.0423166753724421,0.0418653098617971,-0.122435377721028,NA
"Ammodytes_dubius","Ammodytes_dubius",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51694927419577,0.441175191478297,0.297602709506427,0.125483916389486,-0.0249573938781431,-0.119813544159664,-0.155172370976077,-0.153069420447303,-0.143227023619786,NA,NA,NA,NA,NA
"Apeltes_quadracus","Apeltes_quadracus",130,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.307334906024799,-0.164024425227877,0.242574866897717,0.148710762936101,-0.139599304705049,-0.234874865015191,NA,NA,NA,NA,NA,NA
