Binomial	ID	year	popvalue
Chelydra_serpentina	283	1980	57
Chelydra_serpentina	283	1981	62
Chelydra_serpentina	283	1982	69
Chelydra_serpentina	37	1983	21
Chelydra_serpentina	283	1983	69
Chelydra_serpentina	37	1984	18
Chelydra_serpentina	283	1984	66
Chelydra_serpentina	37	1985	7
Chelydra_serpentina	283	1985	67
Chelydra_serpentina	37	1986	7
Chelydra_serpentina	283	1986	65
Chelydra_serpentina	37	1987	5
Emydoidea_blandingii	39	1987	2
Chelydra_serpentina	283	1987	57
Chelydra_serpentina	37	1988	4
Emydoidea_blandingii	39	1988	13
Chelydra_serpentina	283	1988	47
Chelydra_serpentina	37	1989	6
Emydoidea_blandingii	39	1989	16
Chelydra_serpentina	283	1989	41
Emydoidea_blandingii	39	1990	2
Storeria_dekayi	101	1990	6
Chelydra_serpentina	283	1990	42
Emydoidea_blandingii	39	1991	4
Storeria_dekayi	101	1991	2
Chelydra_serpentina	283	1991	41
Emydoidea_blandingii	39	1992	5
Storeria_dekayi	101	1992	9
Chelydra_serpentina	283	1992	44
Emydoidea_blandingii	39	1993	12
Storeria_dekayi	101	1993	12
Chelydra_serpentina	283	1993	41
Emydoidea_blandingii	39	1994	17
Storeria_dekayi	101	1994	7
Chelydra_serpentina	283	1994	37
Emydoidea_blandingii	39	1995	16
Storeria_dekayi	101	1995	3
Chelydra_serpentina	283	1995	34
Emydoidea_blandingii	39	1996	22
Storeria_dekayi	101	1996	1
Chelydra_serpentina	283	1996	36
Emydoidea_blandingii	39	1997	15
Storeria_dekayi	101	1997	12
Chelydra_serpentina	283	1997	39
Storeria_dekayi	101	1998	10
Chelydra_serpentina	283	1998	32
Storeria_dekayi	101	1999	1
Chelydra_serpentina	283	1999	32
Emydoidea_blandingii	39	2000	22
Storeria_dekayi	101	2000	11
Chelydra_serpentina	283	2000	34
Emydoidea_blandingii	39	2001	17
Storeria_dekayi	101	2001	4
Chelydra_serpentina	283	2001	36
Emydoidea_blandingii	39	2002	21
Storeria_dekayi	101	2002	11
Chelydra_serpentina	283	2002	36
Emydoidea_blandingii	39	2003	24
Storeria_dekayi	101	2003	3
Chelydra_serpentina	283	2003	36
Emydoidea_blandingii	39	2004	19
Storeria_dekayi	101	2004	24
Chelydra_serpentina	283	2004	37
Emydoidea_blandingii	39	2005	16
Storeria_dekayi	101	2005	7
Chelydra_serpentina	283	2005	37
Emydoidea_blandingii	39	2006	19
Storeria_dekayi	101	2006	31
Chelydra_serpentina	283	2006	36
Emydoidea_blandingii	39	2007	23
Storeria_dekayi	101	2007	4
Chelydra_serpentina	283	2007	35
Emydoidea_blandingii	39	2008	24
Storeria_dekayi	101	2008	13
Chelydra_serpentina	283	2008	36
Emydoidea_blandingii	39	2009	14
Storeria_dekayi	101	2009	11
Chelydra_serpentina	283	2009	38
Emydoidea_blandingii	39	2010	15
Storeria_dekayi	101	2010	13
Chelydra_serpentina	283	2010	39
Emydoidea_blandingii	39	2011	27
Chelydra_serpentina	283	2011	39
Emydoidea_blandingii	39	2012	14
Chelydra_serpentina	283	2012	43
Emydoidea_blandingii	39	2013	23
Chelydra_serpentina	283	2013	43
Emydoidea_blandingii	39	2014	25
Emydoidea_blandingii	39	2015	21
Emydoidea_blandingii	39	2016	25
Emydoidea_blandingii	39	2017	27
Emydoidea_blandingii	39	2018	27
