Binomial	ID	year	popvalue
Alosa_pseudoharengus	2	1950	401
Coregonus_clupeaformis	6	1950	58801
Perca_flavescens	9	1950	0.6
Alosa_pseudoharengus	2	1951	428.3
Coregonus_clupeaformis	6	1951	59023
Perca_flavescens	9	1951	15.228
Alosa_pseudoharengus	2	1952	442.2
Coregonus_clupeaformis	6	1952	22447
Perca_flavescens	9	1952	18.252
Myodes_gapperi	40	1952	17
Sorex_cinereus	44	1952	3
Napaeozapus_insignis	45	1952	18
Tamias_striatus	46	1952	1
Blarina_brevicauda	47	1952	1
Alosa_pseudoharengus	2	1953	321.9
Coregonus_clupeaformis	6	1953	9072
Perca_flavescens	9	1953	11.196
Myodes_gapperi	40	1953	11
Sorex_cinereus	44	1953	5
Napaeozapus_insignis	45	1953	3
Tamias_striatus	46	1953	8
Blarina_brevicauda	47	1953	1
Alosa_pseudoharengus	2	1954	283.1
Coregonus_clupeaformis	6	1954	2039
Perca_flavescens	9	1954	13.652
Myodes_gapperi	40	1954	29
Alosa_pseudoharengus	43	1954	24.5
Sorex_cinereus	44	1954	1
Napaeozapus_insignis	45	1954	7
Tamias_striatus	46	1954	25
Blarina_brevicauda	47	1954	3
Alosa_pseudoharengus	2	1955	94
Coregonus_clupeaformis	6	1955	764
Perca_flavescens	9	1955	21.942
Myodes_gapperi	40	1955	47
Alosa_pseudoharengus	43	1955	191.7
Sorex_cinereus	44	1955	15
Napaeozapus_insignis	45	1955	1
Tamias_striatus	46	1955	4
Blarina_brevicauda	47	1955	0
Alosa_pseudoharengus	2	1956	322.6
Coregonus_clupeaformis	6	1956	1276
Perca_flavescens	9	1956	27.212
Myodes_gapperi	40	1956	31
Alosa_pseudoharengus	43	1956	655.5
Sorex_cinereus	44	1956	1
Napaeozapus_insignis	45	1956	6
Tamias_striatus	46	1956	12
Blarina_brevicauda	47	1956	0
Alosa_pseudoharengus	2	1957	343.6
Coregonus_clupeaformis	6	1957	2671
Perca_flavescens	9	1957	26.414
Myodes_gapperi	40	1957	22
Alosa_pseudoharengus	43	1957	41
Sorex_cinereus	44	1957	8
Napaeozapus_insignis	45	1957	2
Tamias_striatus	46	1957	21
Blarina_brevicauda	47	1957	1
Alosa_pseudoharengus	2	1958	228.3
Coregonus_clupeaformis	6	1958	2314
Perca_flavescens	9	1958	55.984
Myodes_gapperi	40	1958	14
Alosa_pseudoharengus	43	1958	91
Sorex_cinereus	44	1958	5
Napaeozapus_insignis	45	1958	2
Tamias_striatus	46	1958	22
Blarina_brevicauda	47	1958	0
Alosa_pseudoharengus	2	1959	147.8
Coregonus_clupeaformis	6	1959	2122
Perca_flavescens	9	1959	45.128
Myodes_gapperi	40	1959	52
Alosa_pseudoharengus	43	1959	867
Sorex_cinereus	44	1959	2
Napaeozapus_insignis	45	1959	4
Tamias_striatus	46	1959	30
Blarina_brevicauda	47	1959	0
Alosa_pseudoharengus	2	1960	151.4
Coregonus_clupeaformis	6	1960	4147
Perca_flavescens	9	1960	50.85
Myodes_gapperi	40	1960	19
Alosa_pseudoharengus	43	1960	444
Sorex_cinereus	44	1960	1
Napaeozapus_insignis	45	1960	0
Tamias_striatus	46	1960	29
Blarina_brevicauda	47	1960	2
Rangifer_tarandus	180	1960	5021
Alosa_pseudoharengus	2	1961	189.8
Coregonus_clupeaformis	6	1961	3409
Perca_flavescens	9	1961	97.349
Myodes_gapperi	40	1961	20
Alosa_pseudoharengus	43	1961	3086
Sorex_cinereus	44	1961	2
Napaeozapus_insignis	45	1961	0
Tamias_striatus	46	1961	48
Blarina_brevicauda	47	1961	2
Halichoerus_grypus	97	1961	1434
Rangifer_tarandus	180	1961	6059
Alosa_pseudoharengus	2	1962	118.7
Coregonus_clupeaformis	6	1962	2205
Perca_flavescens	9	1962	63.148
Myodes_gapperi	40	1962	9
Alosa_pseudoharengus	43	1962	1119
Sorex_cinereus	44	1962	5
Napaeozapus_insignis	45	1962	11
Tamias_striatus	46	1962	21
Blarina_brevicauda	47	1962	2
Halichoerus_grypus	97	1962	1424
Rangifer_tarandus	180	1962	6888
Alosa_pseudoharengus	2	1963	65
Coregonus_clupeaformis	6	1963	5085
Perca_flavescens	9	1963	41.562
Myodes_gapperi	40	1963	1
Alosa_pseudoharengus	43	1963	1801
Sorex_cinereus	44	1963	3
Napaeozapus_insignis	45	1963	6
Tamias_striatus	46	1963	23
Blarina_brevicauda	47	1963	2
Halichoerus_grypus	97	1963	1896
Rangifer_tarandus	180	1963	6462
Alosa_pseudoharengus	2	1964	78.6
Coregonus_clupeaformis	6	1964	4880
Perca_flavescens	9	1964	24.234
Myodes_gapperi	40	1964	8
Alosa_pseudoharengus	43	1964	5824
Sorex_cinereus	44	1964	0
Napaeozapus_insignis	45	1964	0
Tamias_striatus	46	1964	3
Blarina_brevicauda	47	1964	1
Halichoerus_grypus	97	1964	2368
Rangifer_tarandus	180	1964	7709
Alosa_pseudoharengus	2	1965	128.3
Coregonus_clupeaformis	6	1965	4591
Perca_flavescens	9	1965	15.503
Myodes_gapperi	40	1965	24
Alosa_pseudoharengus	43	1965	2021
Sorex_cinereus	44	1965	1
Napaeozapus_insignis	45	1965	1
Tamias_striatus	46	1965	6
Blarina_brevicauda	47	1965	2
Halichoerus_grypus	97	1965	2358
Rangifer_tarandus	180	1965	8956
Alosa_pseudoharengus	2	1966	67.3
Coregonus_clupeaformis	6	1966	2001
Perca_flavescens	9	1966	7.779
Myodes_gapperi	40	1966	7
Alosa_pseudoharengus	43	1966	1495
Sorex_cinereus	44	1966	1
Napaeozapus_insignis	45	1966	0
Tamias_striatus	46	1966	16
Blarina_brevicauda	47	1966	9
Halichoerus_grypus	97	1966	2830
Rangifer_tarandus	180	1966	10413
Alosa_pseudoharengus	2	1967	68.9
Alosa_sapidissima	4	1967	167
Coregonus_clupeaformis	6	1967	2616
Perca_flavescens	9	1967	4.294
Myodes_gapperi	40	1967	6
Alosa_pseudoharengus	43	1967	1105
Sorex_cinereus	44	1967	0
Napaeozapus_insignis	45	1967	4
Tamias_striatus	46	1967	8
Blarina_brevicauda	47	1967	1
Halichoerus_grypus	97	1967	3302
Rangifer_tarandus	180	1967	12288
Alosa_pseudoharengus	2	1968	92.5
Alosa_pseudoharengus	3	1968	21
Alosa_sapidissima	4	1968	202
Coregonus_clupeaformis	6	1968	3342
Perca_flavescens	9	1968	4.669
Salmo_salar	12	1968	42.7
Sterna_dougallii	34	1968	5
Myodes_gapperi	40	1968	21
Alosa_pseudoharengus	43	1968	1153
Sorex_cinereus	44	1968	2
Napaeozapus_insignis	45	1968	0
Tamias_striatus	46	1968	11
Blarina_brevicauda	47	1968	2
Sterna_paradisaea	56	1968	1300
Halichoerus_grypus	97	1968	3773
Rangifer_tarandus	180	1968	13953
Alosa_pseudoharengus	2	1969	76.1
Alosa_pseudoharengus	3	1969	89
Alosa_sapidissima	4	1969	384
Coregonus_clupeaformis	6	1969	5079
Perca_flavescens	9	1969	0.686
Salmo_salar	12	1969	32.06
Myodes_gapperi	40	1969	10
