Species,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alosa_pseudoharengus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coregonus_clupeaformis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perca_flavescens,1,-0.0589626961663712,-0.0482680037918725,-0.0454668891140312,-0.00376101238589049,0.00322053689709473,0.0075135742087446,0.0101018436498158,0.0129302906470333,0.0165009819942309,0.0198623641751017,0.0218706676794523,0.0221371380295355,0.021469434104303,0.0214612314393995,0.022726892960842,0.041549375595167,0.0355955895958193,0.0202974817329407,-0.00151712266438109,-0.0286546992949934,-0.064629739956805,-0.109580839060251,-0.151798890829598,-0.174882559815426,-0.175562388424647,-0.168340419465949,NA,NA
Myodes_gapperi,1,0.236126124569255,0.228405045820034,0.14354640938007,0.0501917672029593,-0.000905054158131691,NA,NA,NA,NA,NA,NA,0.332361908821618,0.296830272001778,0.222503421591976,0.115147741058806,-0.01059182587188,-0.133179620020669,-0.227970836023163,-0.276745392328841,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorex_cinereus,1,0.00620146137092067,0.00627174685470122,0.00636721210937254,0.00648621041986361,0.00657227462695271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Napaeozapus_insignis,1,0.177832279910797,0.186400393739427,0.186559954651766,0.184182597394253,0.182752254860056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamias_striatus,1,0.028739338120136,0.0344675358173654,0.0402422925013721,0.0446971360412913,0.0466723244984923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blarina_brevicauda,1,-0.0164105497443646,-0.0274167270802732,-0.0352686310952063,-0.0405126071367365,-0.0430531621837014,-0.0044205659948745,-0.00442056599492147,-0.00442056599496077,-0.0044205659949843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rangifer_tarandus,1,-0.00462255895481162,-0.00568049432393297,-0.00517854037272392,-0.0042297152469189,-0.00542660744062679,-0.00923394610920669,-0.0136114927408334,-0.0119153413038084,-0.0151732049228871,-0.017173528630955,-0.0172448164616791,-0.0168744220831716,-0.0191903435182782,-0.0238199832446444,-0.0256721385110823,-0.0212272218077921,-0.0133023741141958,-0.00707047107470204,-0.0172902872398084,-0.0148193992485841,-0.0140853520128355,-0.0163161429078076,-0.0196385032431383,-0.00908043414871607,-0.0117309496138844,-0.0134874031275309,NA,NA
Halichoerus_grypus,1,0.0522259609721578,0.052487927726439,0.052611686514493,0.0524870735118999,0.0520963795385398,0.0513487199085221,0.0499001994559167,0.0473456303575341,0.0436949966362725,0.0395354150518843,0.0356335563997918,0.0324656158936758,0.0301366466872759,0.0285207597457058,0.0273159049742349,0.0261359154430325,0.0248006918992951,0.0235199444737866,0.0226475892268603,0.0222873546892384,NA,NA,NA,NA,NA,NA,NA,NA
Alosa_sapidissima,1,0.0757835069312816,-0.0192513953462475,-0.116232626412105,-0.0875306486081884,0.0181128773730442,0.0789665984054489,0.0742330994769684,0.067825169169663,0.0750222258906442,0.0497886597914938,0.0247825649887545,-0.0581081209452954,-0.0995229499596881,-0.253405544554813,-0.567434588716039,-0.832311730639775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salmo_salar,1,0.0331835113811745,-0.194239819077381,-0.364253525910359,-0.286099670219078,-0.0272321259719241,0.203493486718773,0.24977613329795,0.128853204129166,-0.0205789126145639,-0.0832005106144362,-0.0534438755677058,-0.00190547584073419,0.012024450512151,-0.0148352320288623,-0.0510352518865522,-0.0715400679311857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterna_dougallii,1,0.0416569875939943,0.0323762630905655,-0.00635553594241456,-0.0522345337457089,-0.0816231794965956,-0.0915345184507608,-0.0928485296482973,-0.0933109850195726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterna_paradisaea,1,0.01178272288728,-0.00904946561130249,0.00121453099619639,0.0290883662095487,0.0226699666239663,-0.0436211049847586,-0.137553924144039,-0.200442321375768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plethodon_cinereus,1,NA,NA,NA,NA,NA,-0.101813038189679,-0.101813038189679,-0.101813038189679,0.373012140042698,0.0798065801828837,0.117851271359673,-0.0658894683977133,NA,NA,0.0296666949484619,0.0300051076469259,-0.0785469651202757,0.0691234832121034,0.153566095197838,0.0209507833047349,0.0231929686123329,0.0467702226263042,0.0422460031578277,0.0376718263887119,0.0403225336117005,NA,NA,NA
Phocoena_phocoena,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sander_vitreus,1,0.0336441247620594,0.0270085098205113,-0.00578081141772196,-0.0322665802961066,-0.00538025774916429,-0.0306518342945329,-0.0441585019768652,-0.0463023072806609,-0.0403379636256226,-0.028560287727858,-0.012067461364398,0.00584655118587404,0.0190686348304545,0.0235510573458463,0.0214692040158384,0.0183671481744876,0.0166672270780936,0.0138011544098019,0.00634648216974626,-0.00609840623313163,-0.0212553940899325,-0.0360745081845876,-0.0473962758495158,-0.0528330289918763,-0.0529097813691541,-0.0513015956167347,NA,NA
Alces_americanus,1,0.0168536241184429,0.0155647941835655,0.0149177838218424,0.0153260359750966,0.0164257499303107,0.000320463633416868,-0.000907834728597123,-0.00368146856975327,-0.00665826843875861,-0.00871471525132606,-0.0101360365659318,-0.0106447711187005,-0.0096014540754803,-0.00702959248428048,-0.00443633631200591,-0.00412479901983875,-0.00671099172910772,-0.0101048606273677,-0.0114959664399263,-0.0100128002028352,-0.00708124322414161,-0.00456325532617541,-0.00312685539781654,-0.00234195230114675,-0.00173029299207883,-0.00131829042657738,NA,NA
Peromyscus_maniculatus,1,-0.00735971131520419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamiasciurus_hudsonicus,1,-0.0342860054617584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pollachius_virens,1,-0.221798540318921,-0.191347054064471,-0.140197427557235,-0.085044067018258,-0.0509278374833479,NA,0.0483520353900844,0.0483520353900914,0.0483520353900803,0.0483520353900287,0.0483520353899458,0.0483520353898637,0.048352035389809,0.0483520353897932,0.0483520353898212,0.0483520353899052,0.0483520353900477,0.0483520353902285,0.0483520353904069,0.0483520353905497,0.0483520353906457,0.0483520353907016,0.0483520353907261,NA,NA,NA,NA,NA
Desmognathus_ochrophaeus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithobates_sylvaticus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambloplites_rupestris,1,-0.0293012557872538,-0.0526526629485087,-0.068325242859003,-0.0737084433048817,-0.0697531297764066,-0.059821189729541,-0.0497288988763264,-0.0456987356929494,-0.0480696269972493,-0.0473832810858961,-0.0318874014026934,-0.0021866382956629,0.0248792735352951,0.0319215261749071,0.0195515997084513,0.00405062121273009,-0.00372497147422401,-0.0103681917349319,-0.0269131769149495,-0.0496922420087648,-0.0624029052108712,-0.0562825306262812,-0.0401618475585679,-0.028147618774048,-0.0242456115077575,NA,NA,NA
Ameiurus_nebulosus,1,-0.07173062794393,-0.0772635095527877,-0.078996991720109,-0.0745540694924748,-0.0636180301313143,-0.0488167780041823,-0.0331837459952334,-0.0172090183704345,-0.000432582316440611,0.0165141155481181,0.0316843222150324,0.043787780556075,0.0530785408152049,0.0600828707039091,0.0646433082594124,0.0663854658657346,0.0650070620270113,0.0600341370550895,0.0516330092072818,0.0418983028176963,0.0337656390149308,0.0279913667415426,0.0227458408543714,0.0171201387773257,0.0131972954788132,NA,NA,NA
