ID,min_year,max_year
1,1978,1985
2,1950,1983
3,1968,1988
4,1967,1987
5,1983,2006
6,1950,1977
7,1975,1986
8,1980,1987
9,1950,1983
10,1971,1977
11,1982,2006
12,1968,1991
13,1974,1991
14,1974,1988
15,1977,1991
16,1977,1990
17,1971,1992
18,1979,1994
19,1986,1991
20,1985,1991
21,1985,1991
22,1975,1990
27,1977,1982
28,1977,1982
29,1976,1982
30,1975,1982
31,1975,1982
32,1975,1982
33,1975,1982
34,1968,1998
35,1972,1991
36,1972,1991
37,1983,1989
39,1987,2018
40,1952,1995
43,1954,1982
44,1952,1995
45,1952,1995
46,1952,1995
47,1952,1995
49,1979,1999
56,1968,1998
63,1973,1993
64,1970,1980
65,1985,1993
66,1985,1993
67,1991,1998
69,1980,2000
70,1980,2000
71,1980,2000
72,1980,2000
84,1991,2005
86,1995,2002
87,1988,2011
88,1987,2008
89,1987,2008
90,1988,2011
97,1961,2010
99,1988,2011
101,1990,2010
102,1988,2011
103,1988,2011
104,1988,2011
105,1983,1997
106,1983,1997
107,1989,1997
108,1985,1997
109,1983,1997
110,1983,1997
111,1985,1997
112,1990,1997
113,1983,1993
119,2001,2015
120,2001,2015
121,2001,2015
122,2001,2015
123,2001,2013
131,1972,1997
134,1999,2006
135,1999,2006
136,1999,2006
137,1999,2006
138,1999,2006
139,1995,2006
140,1995,2006
145,1970,1978
146,1970,1978
151,1983,2005
152,1990,2012
153,1990,2010
154,1988,2003
155,1994,2012
156,2002,2011
157,1997,2011
158,2002,2011
159,2002,2011
160,1997,2011
161,2001,2011
162,1997,2011
163,2002,2011
170,2006,2014
173,1971,2000
174,2004,2015
175,2004,2015
176,2004,2015
177,1986,2010
178,2001,2009
179,2001,2009
180,1960,2013
181,1981,2015
182,1980,2016
183,1976,2015
184,1976,2015
185,2006,2015
198,2004,2010
199,2004,2010
201,2004,2010
205,2004,2010
207,2004,2010
211,2004,2010
212,2004,2010
214,2004,2010
215,2004,2010
216,2005,2010
217,2004,2010
218,2005,2010
220,2004,2010
223,2004,2010
225,2004,2010
227,2004,2010
229,2004,2010
231,2005,2010
232,2004,2010
233,1976,2015
234,1979,2015
235,1976,2015
237,1976,2015
239,1976,2015
240,1976,2015
251,2004,2010
254,2004,2010
255,2004,2010
257,2004,2010
258,2005,2010
259,2005,2010
261,2004,2010
263,2004,2010
267,2004,2010
268,2004,2010
270,2004,2010
271,2004,2010
272,2005,2010
273,2004,2010
274,2005,2010
276,2004,2010
279,2004,2010
281,2004,2010
283,1980,2013
319,2006,2015
325,2004,2010
327,2004,2010
329,2005,2010
330,2004,2010
365,2004,2010
366,2004,2010
368,2004,2010
369,2005,2010
370,2005,2010
372,2004,2010
374,2004,2010
378,2004,2010
379,2004,2010
381,2004,2010
382,2004,2010
383,2005,2010
384,2004,2010
387,2004,2010
390,2004,2010
392,2004,2010
394,2004,2010
396,2004,2010
398,2005,2010
399,2004,2010
433,1976,2015
434,1980,2015
435,1977,2015
436,2006,2015
439,2004,2010
440,2004,2010
442,2004,2010
443,2005,2010
444,2005,2010
446,2004,2010
448,2004,2010
452,2004,2010
453,2004,2010
455,2004,2010
456,2004,2010
457,2005,2010
458,2004,2010
459,2005,2010
461,2004,2010
464,2004,2010
466,2004,2010
468,2004,2010
470,2004,2010
472,2005,2010
473,2004,2010
509,2004,2009
512,2004,2010
516,2004,2010
522,2004,2010
535,1976,2016
536,1998,2013
537,2004,2010
541,1976,2015
542,2006,2015
543,2001,2015
544,1978,1998
551,2004,2010
558,2005,2010
559,2004,2010
569,1976,2013
580,2001,2013
588,1977,2012
595,1976,2016
596,1981,1991
606,2004,2010
608,2004,2010
610,2005,2010
612,2004,2010
614,2004,2010
618,2004,2010
619,2004,2010
621,2004,2010
622,2004,2010
624,2004,2010
630,2004,2010
632,2004,2010
634,2004,2010
636,2004,2010
637,2005,2010
638,2004,2010
669,1972,1983
670,1984,1995
671,1996,2013
672,1979,2014
673,2004,2010
674,2004,2010
676,2004,2010
678,2005,2010
680,2004,2010
682,2004,2010
684,2004,2010
687,2004,2010
689,2004,2010
692,2004,2010
695,2004,2010
697,2004,2010
699,2004,2010
704,2004,2010
723,2004,2010
724,2004,2010
726,2004,2010
727,2005,2010
728,2005,2010
730,2004,2010
732,2004,2010
736,2004,2010
737,2004,2010
739,2004,2010
740,2004,2010
741,2005,2010
742,2004,2010
743,2005,2010
745,2004,2010
748,2004,2010
750,2004,2010
752,2004,2010
754,2004,2010
756,2005,2010
757,2004,2010
788,1983,2008
789,1980,2016
796,2004,2010
799,2004,2010
810,1976,2016
811,2004,2010
817,2004,2010
819,2005,2010
821,2005,2010
822,2004,2010
829,2004,2010
